"ibgeCode","name","uf","region","rank","population2022","registeredHomicides","hiddenHomicides","estimatedHomicides","homicideRate","year"
"3168606","Teófilo Otoni","MG","SE","215","137418","20","0","20","14,6","2022"
"2107506","Paço do Lumiar","MA","NE","216","145643","21","0","21","14,4","2022"
"3122306","Divinópolis","MG","SE","217","231091","31","2","33","14,3","2022"
"4307005","Erechim","RS","S","218","105705","14","1","15","14,2","2022"
"3509502","Campinas","SP","SE","219","1139047","134","28","162","14,2","2022"
"3513801","Diadema","SP","SE","220","393237","31","25","56","14,2","2022"
"3157807","Santa Luzia","MG","SE","221","219132","25","6","31","14,1","2022"
"3148004","Patos de Minas","MG","SE","222","159235","22","0","22","13,8","2022"
"3134202","Ituiutaba","MG","SE","223","102217","13","1","14","13,7","2022"
"2504009","Campina Grande","PB","NE","224","419379","56","1","57","13,6","2022"
"3144805","Nova Lima","MG","SE","225","111697","3","12","15","13,4","2022"
"3506508","Birigui","SP","SE","226","118979","16","0","16","13,4","2022"
"3522505","Itapevi","SP","SE","227","232297","27","4","31","13,3","2022"
"3548807","São Caetano do Sul","SP","SE","228","165655","2","20","22","13,3","2022"
